"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 18 08:35:44 GMT 2021","Wed Aug 18 08:35:57 GMT 2021","12498","","udateaddress.UpdateAddressTest","","udateaddress.UpdateAddressTest","updateTest","updateTest()",""
"passed","Wed Aug 18 08:36:09 GMT 2021","Wed Aug 18 08:36:19 GMT 2021","9408","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","delete","delete()",""
"passed","Wed Aug 18 08:35:27 GMT 2021","Wed Aug 18 08:35:31 GMT 2021","4187","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","privacyPolicyTest","privacyPolicyTest()",""
"passed","Wed Aug 18 08:36:25 GMT 2021","Wed Aug 18 08:36:36 GMT 2021","10684","","login.LoginTest","","login.LoginTest","successLogin","successLogin()",""
"passed","Wed Aug 18 08:36:19 GMT 2021","Wed Aug 18 08:36:25 GMT 2021","6828","","datalist.DataListTest","","datalist.DataListTest","creatDataList","creatDataList()",""
"passed","Wed Aug 18 08:35:18 GMT 2021","Wed Aug 18 08:35:27 GMT 2021","9258","","logout.LogoutTest","","logout.LogoutTest","signoutTest","signoutTest()",""
"passed","Wed Aug 18 08:37:03 GMT 2021","Wed Aug 18 08:37:09 GMT 2021","6364","","multipagelist.MultiPageListTest","","multipagelist.MultiPageListTest","multiPageListTest","multiPageListTest()",""
"passed","Wed Aug 18 08:35:31 GMT 2021","Wed Aug 18 08:35:44 GMT 2021","12683","","repeateddatainput.RepeatedDataInputTest","","repeateddatainput.RepeatedDataInputTest","repeatedDataInputTest","repeatedDataInputTest()",""
"passed","Wed Aug 18 08:35:57 GMT 2021","Wed Aug 18 08:36:09 GMT 2021","12434","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","successDataEntry","successDataEntry()",""
"broken","Wed Aug 18 08:36:36 GMT 2021","Wed Aug 18 08:37:03 GMT 2021","26810","","registration.RegistrationTest","","registration.RegistrationTest","successfulRegistrationTest","successfulRegistrationTest()",""
